Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
,,,,655,,,57100,KUALA LUMPUR,WP KUALA LUMPUR,,
,,,,190,JALAN TERASEK,BANGSAR BARU,59100,KUALA LUMPUR,SELANGOR,,
,,,,46,JALAN 1/132,GASING INDAH,59200,KUALA LUMPUR,WP KUALA LUMPUR,,
,,,,,JALAN MEDAN 29,TAMAN MEDAN,46000,PETALING JAYA,SELANGOR,,
C,6,16,,,JALAN PJS 1/52,,58200,KUALA LUMPUR,WP KUALA LUMPUR,,
F,,302,,,JALAN PJS 3/55,TAMAN SRI MANJA,58200,PETALING JAYA,SELANGOR,,
,,,,11,JALAN PUTRA HARMONI 1/4D,PUTRA CREST,47650,SUBANG JAYA,SELANGOR,,
,,,,49,JALAN PINGGIRAN USJ 1/6,TAMAN SUBANG PERMAI,47600,SUBANG JAYA,SELANGOR,,
,,,,81,JALAN SS 18/1,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
C,6,3A,SUBANG PARKHOMES CONDO,,JALAN KEMAJUAN SUBANG,SS 19,47500,SHAH ALAM,SELANGOR,,
,,,,22,,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,4,JALAN USJ 4/1L,USJ 4,47600,SUBANG JAYA,SELANGOR,,
L,5,11,,18,,TAMAN SUBANG PERMAI,47620,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN USJ 11/4D,USJ 11,47620,SUBANG JAYA,SELANGOR,,
,,,,7,,USJ 22,47630,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN USJ 26/3,,47630,SUBANG JAYA,SELANGOR,,
,,,SUNWAY MONASH RESIDENCE,,PERSIARAN TASIK BARAT,SUNWAY SOUTH QUAY,47500,SUBANG JAYA,SELANGOR,,
F,2,4,PANGSAPURI ANGSANA,,,,47610,SUBANG JAYA,SELANGOR,,
,,,,,JALAN MERANTI MERAH 9/KU10,KAPAR,42200,KAPAR,SELANGOR,,
,,,,5,JALAN BUKIT BADAK,KAMPUNG MELAYU SUBANG,40150,SHAH ALAM,SELANGOR,,
